ID заказа,ID пользователя,Пользователь,Email,Телефон,Дата создания,Дата оплаты,Title,Статус,"Стоимость, RUB",Налог,Комиссии,"Заработано, RUB",Валюта,Менеджер,Город,ID партнера,Использован промокод,utm_source,utm_medium,utm_campaign,utm_content,utm_term,user_utm_source,user_utm_medium,user_utm_campaign,user_utm_content,user_utm_term,Теги
0,658,Cecille Hampton,apollo2074@yahoo.com,282.471.7721,2023-11-01 21:00,2023-11-08 21:00,product_1,cancelled,9990,3%,"299,7",0,RUB,Katy,Palestine,5,,vk-ads,cpc,campaign_2,,,yandex-direct,cpc,campaign_3,,,
1,97,Argentina Carson,corner2043@gmail.com,396.295.8557x420,2023-08-17 8:00,2023-08-26 8:00,product_3,completed,49900,5%,2495,49899,RUB,John,New Braunfels,1,Да,facebook-ads,cpc,campaign_1,,,vk-ads,cpc,campaign_2,,,
2,1243,Mao Castro,picnic1965@outlook.com,(465)454-3273x4449,2023-02-12 2:00,2023-02-25 2:00,product_4,cancelled,89900,5%,4495,0,RUB,John,Central Point,1,,facebook-ads,cpc,campaign_3,,,vk-ads,cpc,campaign_2,,,
3,1441,Jessie Witt,attraction1874@yahoo.com,+1-474-953-8141x17962,2023-05-10 5:00,2023-05-20 5:00,product_2,in progress,18990,3%,"569,7",0,RUB,Will,Georgetown,8,,yandex-direct,cpc,campaign_3,,,vk-ads,cpc,campaign_3,,,
4,199,Shay Hanson,wit1826@yahoo.com,7478836341,2023-08-14 13:00,2023-08-23 13:00,product_2,cancelled,18990,7%,"1329,3",0,RUB,Katy,Dallas,5,,facebook-ads,cpc,campaign_2,,,yandex-direct,cpc,campaign_1,,,
5,1252,Agnus Sharpe,yields2002@protonmail.com,(510)570-1626,2023-06-23 7:00,2023-07-07 7:00,product_4,cancelled,89900,5%,4495,0,RUB,Anny,Mooresville,2,Да,yandex-direct,cpc,campaign_2,,,facebook-ads,cpc,campaign_3,,,
6,406,Rigoberto Romero,resolution1836@yandex.com,2424905628,2023-11-18 20:00,2023-11-29 20:00,product_1,cancelled,9990,7%,"699,3",0,RUB,Katy,Sun Prairie,9,,yandex-direct,cpc,campaign_1,,,facebook-ads,cpc,campaign_2,,,
7,1103,Dwain Estes,sound1836@gmail.com,+1-387-427-3686,2023-05-14 14:00,2023-05-27 14:00,product_2,cancelled,18990,7%,"1329,3",0,RUB,Katy,Bartlett,9,,vk-ads,cpc,campaign_3,,,vk-ads,cpc,campaign_2,,,
8,854,Tova Suarez,inherited1845@duck.com,394.754.6612x0990,2023-11-10 17:00,2023-11-20 17:00,product_3,completed,49900,5%,2495,49892,RUB,Will,Renton,3,,yandex-direct,cpc,campaign_2,,,vk-ads,cpc,campaign_3,,,
9,725,Lane Koch,board1941@live.com,946.461.7879,2023-03-28 21:00,2023-04-02 21:00,product_4,cancelled,89900,5%,4495,0,RUB,Will,Radcliff,10,,vk-ads,cpc,campaign_1,,,facebook-ads,cpc,campaign_2,,,
