id,Email,Тип регистрации,Создан,Имя,Фамилия,Телефон,Город,Дата рождения,Возраст,От партнера,ID партнера,utm_source,utm_medium,utm_campaign,utm_term,utm_content
0,ongoing1973@yandex.com,Создан самостоятельно,2023-03-05 22:00,Shaunta,Boyle,001-618-905-2144x5982,Elk Grove Village,1984-02-20,40,TRUE,10,vk-ads,,campaign_2,,
1,giants1992@outlook.com,Создан самостоятельно,2021-05-16 11:00,Jed,Shepherd,441-426-4893x894,Elizabethtown,2001-11-14,22,TRUE,8,vk-ads,,campaign_1,,
2,sweet2085@protonmail.com,Создан менеджером,2021-07-11 2:00,Anamaria,Pollard,(514)384-2742x6615,Spokane Valley,1981-09-15,42,TRUE,2,yandex-direct,,campaign_2,,
3,week1819@gmail.com,Создан самостоятельно,2023-02-12 22:00,Melda,Dickson,+1-644-206-5221x7293,Mountain View,1979-10-16,44,FALSE,,facebook-ads,,campaign_3,,
4,between1989@yahoo.com,Создан менеджером,2022-11-02 9:00,Royce,Gamble,(906)692-1850,Bensenville,2000-03-15,24,TRUE,3,yandex-direct,,campaign_3,,
5,boy2028@protonmail.com,Создан менеджером,2020-07-27 14:00,Yon,Dennis,+1-514-987-7479x7360,Allen,1978-05-31,45,TRUE,9,vk-ads,,campaign_1,,
6,sponsorship1828@duck.com,Создан самостоятельно,2022-09-18 13:00,Malcolm,Decker,7944475635,Sterling Heights,1993-07-12,30,TRUE,10,vk-ads,,campaign_1,,
7,pubs1982@example.org,Создан менеджером,2023-01-07 11:00,Quiana,Merritt,869-453-7081,Altamonte Springs,1988-06-28,35,TRUE,9,yandex-direct,,campaign_1,,
8,factors1845@duck.com,Создан самостоятельно,2022-05-25 23:00,Kareem,Huffman,403.530.8823,San Luis,1980-08-14,43,FALSE,,vk-ads,,campaign_3,,
9,trans2072@example.com,Создан менеджером,2022-09-02 8:00,Doyle,Crawford,+1-388-651-7489x66871,Caledonia,1993-01-09,31,TRUE,1,facebook-ads,,campaign_2,,
10,highs1824@outlook.com,Создан самостоятельно,2021-10-09 12:00,Alonzo,Brown,001-288-680-7260x0987,Southgate,1976-09-03,47,TRUE,10,yandex-direct,,campaign_1,,
11,wife1801@example.com,Создан самостоятельно,2020-08-13 6:00,Bradly,Duffy,5786027158,North Platte,2001-11-30,22,TRUE,2,vk-ads,,campaign_3,,
12,grocery2015@example.org,Создан самостоятельно,2022-03-28 15:00,Virgil,Goff,325-550-9234,Peabody,1998-05-30,25,FALSE,,yandex-direct,,campaign_3,,
13,opposite2074@live.com,Создан менеджером,2022-08-28 17:00,Vallie,Bush,321.780.1247x05868,Pinellas Park,1999-07-13,24,FALSE,,yandex-direct,,campaign_2,,
14,experiences1818@outlook.com,Создан менеджером,2022-02-14 8:00,Andrea,Webster,272.813.4256x2486,Lake Zurich,1998-09-09,25,FALSE,,facebook-ads,,campaign_1,,
15,knowledgestorm2031@gmail.com,Создан самостоятельно,2020-02-05 22:00,Rayna,Mitchell,738.770.0756,Camden,2000-11-20,23,FALSE,,facebook-ads,,campaign_2,,
16,symbols1824@outlook.com,Создан менеджером,2020-07-30 4:00,Marisha,Barlow,001-417-227-0316x75768,Altamonte Springs,2001-03-06,23,TRUE,4,facebook-ads,,campaign_1,,
